year,ucdp_ov_total_deaths,ucdp_ov_civilian_deaths,units_with_any_ov,units_with_ov_fatalities,rank_desc_total,cumulative_deaths,cumulative_share
1994,824177.0,783026.0,61,58,1,824177.0,0.19356460745472348
2022,317936.0,34989.0,67,67,2,1142113.0,0.26823443812911135
2025,245464.0,91566.0,60,58,3,1387577.0,0.32588363581876567
2021,235007.0,17058.0,65,64,4,1622584.0,0.381076922823999
2024,188209.0,34895.0,61,61,5,1810793.0,0.4252793225566366
2023,170432.0,36026.0,65,64,6,1981225.0,0.46530665063995297
2014,151743.0,35411.0,51,50,7,2132968.0,0.5009447165275015
2015,132027.0,29895.0,57,54,8,2264995.0,0.5319523209964745
2016,116723.0,26588.0,59,59,9,2381718.0,0.5593656577869185
2013,115556.0,33132.0,49,49,10,2497274.0,0.5865049152268107
2017,113678.0,29402.0,60,59,11,2610952.0,0.6132031092388227
2020,104199.0,14338.0,63,59,12,2715151.0,0.6376750837445111
1999,102686.0,18313.0,62,58,13,2817837.0,0.661791718012509
1990,95752.0,11474.0,60,60,14,2913589.0,0.684279846524958
2000,95168.0,10889.0,59,56,15,3008757.0,0.7066308179331035
2012,91463.0,28703.0,53,53,16,3100220.0,0.7281116402463097
2018,89494.0,14632.0,60,60,17,3189714.0,0.7491300270486022
1996,88030.0,56103.0,60,57,18,3277744.0,0.7698045816579147
1991,84408.0,14398.0,57,55,19,3362152.0,0.789628480390879
2019,78507.0,11870.0,67,66,20,3440659.0,0.808066481739434
1992,76121.0,24158.0,68,63,21,3516780.0,0.8259441117680091
1993,74232.0,19295.0,63,61,22,3591012.0,0.8433780949300956
1989,68311.0,10028.0,53,53,23,3659323.0,0.8594214835466667
1997,66484.0,22858.0,58,58,24,3725807.0,0.8750357864961785
1995,62876.0,28104.0,63,60,25,3788683.0,0.8898027215821166
1998,61638.0,20287.0,61,60,26,3850321.0,0.9042789023955756
2009,52253.0,15534.0,54,51,27,3902574.0,0.9165509403599106
2011,42485.0,9763.0,52,49,28,3945059.0,0.926528884839936
2002,42146.0,15618.0,53,50,29,3987205.0,0.9364272124392099
2003,41077.0,14674.0,49,48,30,4028282.0,0.9460744767773529
2008,40245.0,7127.0,56,53,31,4068527.0,0.9555263392134745
2001,38409.0,10728.0,56,53,32,4106936.0,0.9645470022600391
2004,36924.0,13772.0,57,53,33,4143860.0,0.9732189010944621
2010,34898.0,5944.0,47,47,34,4178758.0,0.9814149775088183
2007,29433.0,6435.0,48,46,35,4208191.0,0.9883275546508823
2006,28510.0,6680.0,45,44,36,4236701.0,0.9950233578078913
2005,21190.0,6745.0,53,51,37,4257891.0,1.0
