year,ucdp_ov_total_deaths,units_with_any_ov,units_with_ov_fatalities
1989,68311.0,53,53
1990,95752.0,60,60
1991,84408.0,57,55
1992,76121.0,68,63
1993,74232.0,63,61
1994,824177.0,61,58
1995,62876.0,63,60
1996,88030.0,60,57
1997,66484.0,58,58
1998,61638.0,61,60
1999,102686.0,62,58
2000,95168.0,59,56
2001,38409.0,56,53
2002,42146.0,53,50
2003,41077.0,49,48
2004,36924.0,57,53
2005,21190.0,53,51
2006,28510.0,45,44
2007,29433.0,48,46
2008,40245.0,56,53
2009,52253.0,54,51
2010,34898.0,47,47
2011,42485.0,52,49
2012,91463.0,53,53
2013,115556.0,49,49
2014,151743.0,51,50
2015,132027.0,57,54
2016,116723.0,59,59
2017,113678.0,60,59
2018,89494.0,60,60
2019,78507.0,67,66
2020,104199.0,63,59
2021,235007.0,65,64
2022,317936.0,67,67
2023,170432.0,65,64
2024,188209.0,61,61
2025,245464.0,60,58
