year,State-based,Non-state,One-sided,Component total
2010,21887.0,9039.0,3972.0,34898.0
2011,25843.0,9471.0,7171.0,42485.0
2012,74379.0,10349.0,6735.0,91463.0
2013,93725.0,9910.0,11921.0,115556.0
2014,116273.0,19901.0,15569.0,151743.0
2015,104785.0,16115.0,11127.0,132027.0
2016,91070.0,17438.0,8215.0,116723.0
2017,72559.0,31469.0,9650.0,113678.0
2018,55535.0,28443.0,5516.0,89494.0
2019,52967.0,19569.0,5971.0,78507.0
2020,73415.0,21370.0,9414.0,104199.0
2021,200226.0,22331.0,12450.0,235007.0
2022,285324.0,20093.0,12519.0,317936.0
2023,139149.0,19578.0,11705.0,170432.0
2024,155255.0,18234.0,14720.0,188209.0
2025,153782.0,14936.0,76746.0,245464.0
