year,total,s1,top1_id,top1_label,eff_contrib,n_positive,top1_article_label,focus
1989,68311.0,0.3716092576598205,ETH,Ethiopia,5.882720768045308,53,Ethiopia,False
1990,95752.0,0.5206784192497285,ETH,Ethiopia,3.503830978991924,60,Ethiopia,True
1991,84408.0,0.2902923893469813,IRQ,Iraq,7.530546017404078,55,Iraq,False
1992,76121.0,0.330670905531982,BIH,Bosnia and Herzegovina,7.420375410607281,63,Bosnia and Herzegovina,False
1993,74232.0,0.18572852678090312,BIH,Bosnia and Herzegovina,10.029651529867415,61,Bosnia and Herzegovina,False
1994,824177.0,0.9372537695179555,RWA,Rwanda,1.1379689281384207,58,Rwanda,False
1995,62876.0,0.27458807812201796,BIH,Bosnia and Herzegovina,9.090918192006827,60,Bosnia and Herzegovina,False
1996,88030.0,0.38959445643530616,COD,"Congo, The Democratic Republic of the",4.854505556249108,57,"Congo, The Democratic Republic of the",False
1997,66484.0,0.20902773599663077,COD,"Congo, The Democratic Republic of the",9.372521637733728,58,"Congo, The Democratic Republic of the",False
1998,61638.0,0.1975080307602453,AFG,Afghanistan,11.379585589014392,60,Afghanistan,False
1999,102686.0,0.29980717916755933,ETH,Ethiopia,7.215953681486753,58,Ethiopia,False
2000,95168.0,0.5113693678547411,ETH,Ethiopia,3.606233141848705,56,Ethiopia,True
2001,38409.0,0.14457549011950324,AFG,Afghanistan,14.063984165526275,53,Afghanistan,False
2002,42146.0,0.1889384520476439,COD,"Congo, The Democratic Republic of the",11.106387516774923,50,"Congo, The Democratic Republic of the",False
2003,41077.0,0.19560824792462936,IRQ,Iraq,10.490089991077157,48,Iraq,False
2004,36924.0,0.2630267576643917,SDN,Sudan,8.917391189858167,53,Sudan,False
2005,21190.0,0.16682397357243983,IRQ,Iraq,12.611620778959018,51,Iraq,False
2006,28510.0,0.17474570326201333,AFG,Afghanistan,11.462721944426688,44,Afghanistan,False
2007,29433.0,0.2390853803553834,AFG,Afghanistan,9.272719072642344,46,Afghanistan,False
2008,40245.0,0.21003851410113059,LKA,Sri Lanka,9.955072026634642,53,Sri Lanka,False
2009,52253.0,0.19937611237632288,LKA,Sri Lanka,9.378462682312604,51,Sri Lanka,False
2010,34898.0,0.20777694996847956,PAK,Pakistan,7.431714068778594,47,Pakistan,False
2011,42485.0,0.17801577027186066,AFG,Afghanistan,11.545389100720367,49,Afghanistan,False
2012,91463.0,0.5871117282398347,SYR,Syrian Arab Republic,2.764000270698537,53,Syria,False
2013,115556.0,0.6620166845512133,SYR,Syrian Arab Republic,2.2247194140580513,49,Syria,True
2014,151743.0,0.5186993798725477,SYR,Syrian Arab Republic,3.375690820781767,50,Syria,False
2015,132027.0,0.451544002363153,SYR,Syrian Arab Republic,4.144818278371235,54,Syria,False
2016,116723.0,0.46171705662123147,SYR,Syrian Arab Republic,3.9042073790775755,59,Syria,False
2017,113678.0,0.33895740600643925,SYR,Syrian Arab Republic,5.883431144883164,59,Syria,True
2018,89494.0,0.30052294008536884,AFG,Afghanistan,5.753830575027889,60,Afghanistan,False
2019,78507.0,0.3876724368527647,AFG,Afghanistan,5.120252921118513,66,Afghanistan,False
2020,104199.0,0.23445522509812955,ETH,Ethiopia,7.781069612712342,59,Ethiopia,False
2021,235007.0,0.5511154986872732,ETH,Ethiopia,2.9165774899010035,64,Ethiopia,False
2022,317936.0,0.5190510039756429,ETH,Ethiopia,2.6869793756071267,67,Ethiopia,False
2023,170432.0,0.44866574352234323,UKR,Ukraine,4.107040407151973,64,Ukraine,False
2024,188209.0,0.48764405527897176,UKR,Ukraine,3.8029980243809707,61,Ukraine,False
2025,245464.0,0.3680580451715934,UKR,Ukraine,4.2067653220302255,58,Ukraine,False
